"","Country","Region","Year","GDP per Capita","HDI"
"1","Albania","Europe & Central Asia",1990,617.2304355,0.645
"2","Algeria","Middle East & North Africa",1990,2394.42038,0.577
"3","Angola","Sub-Saharan Africa",1990,922.55017,NA
"4","AntiguaandBarbuda","Latin America & Caribbean",1990,6889.004721,NA
"5","Argentina","Latin America & Caribbean",1990,4318.7747,0.704
"6","Armenia","Europe & Central Asia",1990,637.8557412,0.631
"7","Australia","East Asia & Pacific",1990,18214.83698,0.866
"8","Austria","Europe & Central Asia",1990,21680.98969,0.795
"9","Azerbaijan","Europe & Central Asia",1990,1266.020967,NA
"10","Bahrain","Middle East & North Africa",1990,8528.983334,0.746
"11","Bangladesh","South Asia",1990,297.5679945,0.387
"12","Barbados","Latin America & Caribbean",1990,7770.815258,0.716
"13","Belarus","Europe & Central Asia",1990,2124.840514,NA
"14","Belgium","Europe & Central Asia",1990,20710.64434,0.806
"15","Belize","Latin America & Caribbean",1990,2197.185023,0.644
"16","Benin","Sub-Saharan Africa",1990,393.6862144,0.348
"17","Bhutan","South Asia",1990,557.9721483,NA
"18","BosniaandHerzegovina","Europe & Central Asia",1990,NA,NA
"19","Botswana","Sub-Saharan Africa",1990,2750.950026,0.581
"20","Brazil","Latin America & Caribbean",1990,3093.037479,0.611
"21","BruneiDarussalam","East Asia & Pacific",1990,13604.15683,0.782
"22","Bulgaria","Europe & Central Asia",1990,2366.529821,0.694
"23","BurkinaFaso","Sub-Saharan Africa",1990,351.9793229,NA
"24","Burundi","Sub-Saharan Africa",1990,209.0516152,0.297
"25","Cambodia","East Asia & Pacific",1990,NA,0.364
"26","Cameroon","Sub-Saharan Africa",1990,951.8882236,0.44
"27","Canada","North America",1990,21371.2911,0.849
"28","CentralAfricanRepublic","Sub-Saharan Africa",1990,490.0745619,0.317
"29","Chad","Sub-Saharan Africa",1990,291.8661593,NA
"30","Chile","Latin America & Caribbean",1990,2500.646257,0.701
"31","China","East Asia & Pacific",1990,317.884673,0.502
"32","Colombia","Latin America & Caribbean",1990,1396.028769,0.592
"33","Comoros","Sub-Saharan Africa",1990,1043.800803,NA
"34","CostaRica","Latin America & Caribbean",1990,1844.863376,0.656
"35","Croatia","Europe & Central Asia",1990,NA,0.67
"36","Cuba","Latin America & Caribbean",1990,2706.975742,0.676
"37","Cyprus","Europe & Central Asia",1990,9641.575273,0.732
"38","Denmark","Europe & Central Asia",1990,26891.44164,0.799
"39","Djibouti","Middle East & North Africa",1990,766.1409545,NA
"40","Dominica","Latin America & Caribbean",1990,2839.98435,NA
"41","DominicanRepublic","Latin America & Caribbean",1990,984.6914172,0.598
"42","Ecuador","Latin America & Caribbean",1990,1491.401682,0.643
"43","ElSalvador","Latin America & Caribbean",1990,916.7567787,0.529
"44","EquatorialGuinea","Sub-Saharan Africa",1990,262.6694558,NA
"45","Eritrea","Sub-Saharan Africa",1990,NA,NA
"46","Estonia","Europe & Central Asia",1990,NA,0.733
"47","Ethiopia","Sub-Saharan Africa",1990,253.1929484,NA
"48","Fiji","East Asia & Pacific",1990,1834.989572,0.643
"49","Finland","Europe & Central Asia",1990,28380.54891,0.784
"50","France","Europe & Central Asia",1990,21690.62912,0.779
"51","Gabon","Sub-Saharan Africa",1990,6251.017385,0.62
"52","Georgia","Europe & Central Asia",1990,1614.640122,NA
"53","Germany","Europe & Central Asia",1990,22219.57253,0.801
"54","Ghana","Sub-Saharan Africa",1990,402.5888811,0.455
"55","Greece","Europe & Central Asia",1990,9600.18513,0.753
"56","Grenada","Latin America & Caribbean",1990,2888.347506,NA
"57","Guatemala","Latin America & Caribbean",1990,825.8073881,0.478
"58","Guinea","Sub-Saharan Africa",1990,441.4127933,0.276
"59","Guinea-Bissau","Sub-Saharan Africa",1990,241.002485,NA
"60","Guyana","Latin America & Caribbean",1990,533.5362054,0.538
"61","Haiti","Latin America & Caribbean",1990,436.1136167,0.409
"62","Honduras","Latin America & Caribbean",1990,993.4780405,0.506
"63","Hungary","Europe & Central Asia",1990,NA,0.704
"64","Iceland","Europe & Central Asia",1990,25008.84946,0.802
"65","India","South Asia",1990,368.8848222,0.427
"66","Indonesia","East Asia & Pacific",1990,585.0010311,0.528
"67","Iraq","Middle East & North Africa",1990,10297.42767,0.572
"68","Ireland","Europe & Central Asia",1990,14048.10658,0.763
"69","Israel","Middle East & North Africa",1990,12658.15406,0.792
"70","Italy","Europe & Central Asia",1990,20757.08868,0.769
"71","Jamaica","Latin America & Caribbean",1990,1894.292759,0.638
"72","Japan","East Asia & Pacific",1990,25359.34702,0.816
"73","Jordan","Middle East & North Africa",1990,1168.349421,0.617
"74","Kazakhstan","Europe & Central Asia",1990,1647.463231,0.69
"75","Kenya","Sub-Saharan Africa",1990,366.3008909,0.468
"76","Kiribati","East Asia & Pacific",1990,549.7643854,NA
"77","Kuwait","Middle East & North Africa",1990,8776.741344,0.713
"78","Latvia","Europe & Central Asia",1990,NA,0.704
"79","Lebanon","Middle East & North Africa",1990,1050.117851,NA
"80","Lesotho","Sub-Saharan Africa",1990,371.8442387,0.499
"81","Liberia","Sub-Saharan Africa",1990,NA,NA
"82","Libya","Middle East & North Africa",1990,6514.321504,0.677
"83","Lithuania","Europe & Central Asia",1990,NA,0.732
"84","Luxembourg","Europe & Central Asia",1990,34645.14324,0.782
"85","Madagascar","Sub-Saharan Africa",1990,265.6761189,NA
"86","Malawi","Sub-Saharan Africa",1990,199.2859332,0.34
"87","Malaysia","East Asia & Pacific",1990,2440.591801,0.643
"88","Maldives","South Asia",1990,963.5956599,NA
"89","Mali","Sub-Saharan Africa",1990,316.8165941,0.231
"90","Malta","Middle East & North Africa",1990,7191.923603,0.74
"91","Mauritania","Sub-Saharan Africa",1990,502.2317528,0.374
"92","Mauritius","Sub-Saharan Africa",1990,2506.179312,0.619
"93","Mexico","Latin America & Caribbean",1990,3060.685213,0.65
"94","Mongolia","East Asia & Pacific",1990,1172.443066,0.579
"95","Montenegro","Europe & Central Asia",1990,NA,NA
"96","Morocco","Middle East & North Africa",1990,1202.567531,0.458
"97","Mozambique","Sub-Saharan Africa",1990,189.6245382,0.209
"98","Myanmar","East Asia & Pacific",1990,NA,0.359
"99","Namibia","Sub-Saharan Africa",1990,1969.1668,0.579
"100","Nepal","South Asia",1990,193.4761241,0.378
"101","Netherlands","Europe & Central Asia",1990,21019.12567,0.829
"102","NewZealand","East Asia & Pacific",1990,13670.20069,0.818
"103","Nicaragua","Latin America & Caribbean",1990,243.5612625,0.489
"104","Niger","Sub-Saharan Africa",1990,309.5864505,0.21
"105","Nigeria","Sub-Saharan Africa",1990,567.1859158,NA
"106","Norway","Europe & Central Asia",1990,28242.94374,0.85
"107","Oman","Middle East & North Africa",1990,6448.131243,NA
"108","Pakistan","South Asia",1990,371.5726219,0.404
"109","Panama","Latin America & Caribbean",1990,2603.781289,0.66
"110","PapuaNewGuinea","East Asia & Pacific",1990,746.5073779,0.38
"111","Paraguay","Latin America & Caribbean",1990,1379.323775,0.58
"112","Peru","Latin America & Caribbean",1990,1210.005978,0.611
"113","Philippines","East Asia & Pacific",1990,715.3105853,0.586
"114","Poland","Europe & Central Asia",1990,1731.209531,0.712
"115","Portugal","Europe & Central Asia",1990,7885.394019,0.711
"116","Qatar","Middle East & North Africa",1990,15448.66548,0.754
"117","Romania","Europe & Central Asia",1990,1680.705623,0.701
"118","RussianFederation","Europe & Central Asia",1990,3485.112306,0.734
"119","Rwanda","Sub-Saharan Africa",1990,352.4401342,0.25
"120","Samoa","East Asia & Pacific",1990,772.2070276,0.62
"121","SaoTomeandPrincipe","Sub-Saharan Africa",1990,NA,0.453
"122","SaudiArabia","Middle East & North Africa",1990,7204.728651,0.697
"123","Senegal","Sub-Saharan Africa",1990,957.8437769,0.367
"124","Serbia","Europe & Central Asia",1990,NA,0.718
"125","Seychelles","Sub-Saharan Africa",1990,5302.843727,NA
"126","SierraLeone","Sub-Saharan Africa",1990,150.6511518,0.275
"127","Singapore","East Asia & Pacific",1990,11864.28021,0.718
"128","Slovenia","Europe & Central Asia",1990,NA,0.767
"129","SolomonIslands","East Asia & Pacific",1990,970.0969308,NA
"130","SouthAfrica","Sub-Saharan Africa",1990,3076.455387,0.618
"131","Spain","Europe & Central Asia",1990,13767.38147,0.754
"132","SriLanka","South Asia",1990,463.5132257,0.625
