"","Source","Target","Export"
"1","China","Japan",147564608060
"2","China","Vietnam",84222789310
"3","China","Germany",78154624120
"4","China","India",77023158370
"5","China","Netherlands",73288722720
"6","China","Singapore",50089792010
"7","China","Russia",48073660520
"8","China","Australia",47646836240
"9","China","Malaysia",46143396260
"10","China","Mexico",44183802070
"11","China","Indonesia",43358274540
"12","China","Thailand",43081656410
"13","China","Canada",35660223170
"14","China","Philippines",35184675950
"15","China","Brazil",33793143330
"16","China","Italy",33325401390
"17","China","France",31247810430
"18","China","United Arab Emirates",30075178290
"19","China","Spain",25133681440
"20","China","Poland",20990113610
"21","China","Turkey",17935302380
"22","China","Bangladesh",17788309050
"23","China","Saudi Arabia",17753451250
"24","China","Belgium",17177557310
"25","China","Pakistan",16968241660
"26","China","South Africa",16405867220
"27","China","Chile",15963867080
"28","China","Nigeria",13686769880
"29","China","Egypt",12056774090
"30","China","Czech Republic",11916326140
"31","China","Kazakhstan",11414867730
"32","China","Myanmar",10604892830
"33","China","Israel",9356423000
"34","China","Colombia",8758984170
"35","China","Argentina",8433502520
"36","China","Sweden",8293234440
"37","China","Peru",8125024270
"38","China","Iraq",7993637600
"39","China","Algeria",7939879510
"40","China","Denmark",7306905070
"41","China","Ukraine",7042728640
"42","China","Panama",6977810790
"43","China","Greece",6572270810
"44","China","Hungary",6553210240
"45","China","Cambodia",6034030960
"46","China","New Zealand",5813553850
