"","Source","Target","Export"
"1","Russia","China",56079088096
"2","Russia","Netherlands",43598519474
"3","Russia","Germany",34002141235
"4","Russia","Belarus",21562752686
"5","Russia","Turkey",21525038664
"6","Russia","Italy",16394974441
"7","Russia","Poland",16290541875
"8","Russia","Kazakhstan",12738306284
"9","Russia","Japan",12535908254
"10","Russia","Finland",11380249739
"11","Russia","Ukraine",9525095422
"12","Russia","Belgium",9204400953
"13","Russia","France",7785043349
"14","Russia","India",7755180689
"15","Russia","Egypt",7145679210
